epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,402.681,0.84143,1.38428,0.00124,0.88456,0.91608,0.95597,0.76392,0.94875,0.92133,0.00177,0.0002773,0.0002773,0.0002773
148,405.382,0.87823,1.34265,0.00118,0.87367,0.92119,0.95363,0.76869,0.92819,0.91147,0.00175,0.00027235,0.00027235,0.00027235
149,407.885,1.03952,1.88615,0.00131,0.87367,0.92119,0.95363,0.76869,0.92819,0.91147,0.00175,0.0002674,0.0002674,0.0002674
150,410.578,0.96574,1.51523,0.00155,0.85251,0.93007,0.95194,0.77298,0.93102,0.89701,0.00176,0.00026245,0.00026245,0.00026245
151,413.102,0.77065,1.8568,0.00108,0.85251,0.93007,0.95194,0.77298,0.93102,0.89701,0.00176,0.0002575,0.0002575,0.0002575
152,415.797,0.97609,1.43547,0.00115,0.83523,0.93333,0.95023,0.77798,0.93178,0.90146,0.00179,0.00025255,0.00025255,0.00025255
153,418.791,1.04885,1.28692,0.00105,0.83523,0.93333,0.95023,0.77798,0.93178,0.90146,0.00179,0.0002476,0.0002476,0.0002476
154,421.494,0.78325,1.33322,0.00107,0.82579,0.93333,0.95308,0.77853,0.9266,0.90629,0.00178,0.00024265,0.00024265,0.00024265
155,424.129,1.33184,1.38028,0.00126,0.82579,0.93333,0.95308,0.77853,0.9266,0.90629,0.00178,0.0002377,0.0002377,0.0002377
156,426.897,1.00886,1.09221,0.0011,0.80612,0.92287,0.95308,0.77404,0.90567,0.90475,0.00176,0.00023275,0.00023275,0.00023275
157,429.838,0.86229,1.15986,0.00095,0.80612,0.92287,0.95308,0.77404,0.90567,0.90475,0.00176,0.0002278,0.0002278,0.0002278
158,432.525,0.92774,1.08245,0.00104,0.80086,0.90997,0.95167,0.77966,0.89691,0.90765,0.00172,0.00022285,0.00022285,0.00022285
159,435.039,0.96847,1.62543,0.00114,0.80086,0.90997,0.95167,0.77966,0.89691,0.90765,0.00172,0.0002179,0.0002179,0.0002179
160,437.737,0.89976,1.15473,0.00115,0.80193,0.92686,0.95194,0.78638,0.92159,0.92178,0.00174,0.00021295,0.00021295,0.00021295
161,440.301,1.1454,1.13041,0.0011,0.80193,0.92686,0.95194,0.78638,0.92159,0.92178,0.00174,0.000208,0.000208,0.000208
162,443.422,0.96865,1.14136,0.00114,0.79334,0.91385,0.95308,0.78191,0.93572,0.93132,0.00176,0.00020305,0.00020305,0.00020305
163,445.953,1.32951,2.47826,0.00166,0.79334,0.91385,0.95308,0.78191,0.93572,0.93132,0.00176,0.0001981,0.0001981,0.0001981
164,448.714,0.92654,1.53267,0.00119,0.81324,0.90443,0.95259,0.77711,0.95475,0.95135,0.00176,0.00019315,0.00019315,0.00019315
165,451.263,1.13641,1.93667,0.00182,0.81324,0.90443,0.95259,0.77711,0.95475,0.95135,0.00176,0.0001882,0.0001882,0.0001882
166,454.349,1.04435,1.24317,0.00107,0.82129,0.90133,0.95308,0.76882,0.966,0.96314,0.00179,0.00018325,0.00018325,0.00018325
167,456.918,0.85653,1.12894,0.00106,0.82129,0.90133,0.95308,0.76882,0.966,0.96314,0.00179,0.0001783,0.0001783,0.0001783
168,459.613,1.22592,1.22831,0.0012,0.82322,0.90402,0.95259,0.76507,0.97662,0.96487,0.0018,0.00017335,0.00017335,0.00017335
169,462.16,1.12266,1.31901,0.00114,0.82322,0.90402,0.95259,0.76507,0.97662,0.96487,0.0018,0.0001684,0.0001684,0.0001684
170,464.795,0.90793,1.21912,0.00117,0.84475,0.90802,0.95259,0.76404,0.98873,0.97634,0.00181,0.00016345,0.00016345,0.00016345
171,467.676,0.89826,1.05876,0.001,0.84475,0.90802,0.95259,0.76404,0.98873,0.97634,0.00181,0.0001585,0.0001585,0.0001585
172,470.367,0.89086,1.22822,0.00108,0.84931,0.90668,0.95259,0.7765,0.96591,0.98912,0.00179,0.00015355,0.00015355,0.00015355
173,472.881,0.94163,0.96384,0.00098,0.84931,0.90668,0.95259,0.7765,0.96591,0.98912,0.00179,0.0001486,0.0001486,0.0001486
174,475.534,0.86665,1.49342,0.00122,0.85838,0.90993,0.95259,0.77439,0.97384,0.97536,0.00181,0.00014365,0.00014365,0.00014365
175,478.066,0.94078,1.21598,0.00106,0.85838,0.90993,0.95259,0.77439,0.97384,0.97536,0.00181,0.0001387,0.0001387,0.0001387
176,480.743,0.94174,1.10741,0.00108,0.86233,0.90288,0.95308,0.77478,0.95848,0.96275,0.00179,0.00013375,0.00013375,0.00013375
177,483.661,0.9588,1.13636,0.00108,0.86233,0.90288,0.95308,0.77478,0.95848,0.96275,0.00179,0.0001288,0.0001288,0.0001288
178,486.311,0.84772,1.28309,0.00105,0.84512,0.87852,0.94927,0.78223,0.92546,0.96399,0.00177,0.00012385,0.00012385,0.00012385
179,488.825,0.90672,1.30037,0.00125,0.84512,0.87852,0.94927,0.78223,0.92546,0.96399,0.00177,0.0001189,0.0001189,0.0001189
180,491.551,0.83906,1.85434,0.00096,0.87086,0.8967,0.95424,0.78837,0.93268,0.93774,0.00177,0.00011395,0.00011395,0.00011395
181,494.073,0.88578,1.23081,0.00109,0.87086,0.8967,0.95424,0.78837,0.93268,0.93774,0.00177,0.000109,0.000109,0.000109
182,497.136,0.99515,1.04524,0.00122,0.87123,0.89462,0.95424,0.78939,0.91536,0.92431,0.00177,0.00010405,0.00010405,0.00010405
183,499.72,0.81686,1.1442,0.00095,0.87123,0.89462,0.95424,0.78939,0.91536,0.92431,0.00177,9.91e-05,9.91e-05,9.91e-05
184,502.493,1.20472,1.38526,0.00117,0.87229,0.89395,0.95424,0.79034,0.90356,0.9107,0.00176,9.415e-05,9.415e-05,9.415e-05
